,Model,Training Corpus,Evaluation Corpus,Topics,Dimensions,Algorithm,N-Grams,mAR,recall@5,mAP,precision@5,f1
./results/trainedOnCorpustrainedLDAConceptsCossim-40topics,LDA,Concepts,Concepts,40,-,-,-,0.3612876318246597,0.30770529264337315,0.32642443598387216,0.35600000000000004,0.34297234836119683
./results/trainedOnCorpustrainedLDAConceptsCossim-80topics,LDA,Concepts,Concepts,80,-,-,-,0.2804060233918129,0.25533834586466164,0.4372501531801533,0.4653333333333333,0.3416889053094154
./results/trainedOnCorpustrainedLDAConceptsAndRelationsCossim-10topics,LDA,Concepts & Relations,Concepts & Relations,10,-,-,-,0.5105350689317563,0.2927161531279178,0.18517274424229832,0.264,0.2717726550021441
./results/trainedOnCorpustrainedLDAConceptsCossim-20topics,LDA,Concepts,Concepts,20,-,-,-,0.4093991311612365,0.30339097744360904,0.3049559373431193,0.3333333333333333,0.3495424090771248
./results/trainedOnCorpustrained_skipGram_v100_Sent_Cossim_cossim,Word2Vec,Sentences,Sentences,-,100,Skip-Gram,-,0.6561005334981496,0.3365372159660086,0.2086440126529418,0.376,0.3166055192185545
./results/trainedOnCorpustfidf_UniBi_ConRel,TF-IDF,Concepts & Relations,Concepts & Relations,-,-,-,Unigrams and Bigrams,0.6841646150443981,0.3761574278834341,0.22456496752091007,0.408,0.3381410873027445
./results/trainedOnCorpustrainedLDAConceptsAndRelationsCossim-40topics,LDA,Concepts & Relations,Concepts & Relations,40,-,-,-,0.3760413705833211,0.23779259423067475,0.2774250471245002,0.2886666666666667,0.3192919854115125
./results/trainedOnCorpustrainedLDASentCossim-80topics,LDA,Sentences,Sentences,80,-,-,-,0.6797709865160639,0.3099589074496196,0.1973407234575533,0.316,0.30588235623617377
./results/trainedOnCorpustrained_cbow_v100_Con_Cossim_cossim,Word2Vec,Concepts,Concepts,-,100,CBOW,-,0.7048549456597755,0.35722384392353435,0.22464824480636814,0.4,0.3407076554651678
./results/trainedOnCorpustfidf_BiTri_ConRel,TF-IDF,Concepts & Relations,Concepts & Relations,-,-,-,Bigrams and Trigrams,0.637297041623667,0.37601584844464103,0.2253530154400777,0.408,0.3329665578410126
./results/trainedOnCorpustrained_skipGram_v100_ConRel_Cossim_cossim,Word2Vec,Concepts & Relations,Concepts & Relations,-,100,Skip-Gram,-,0.6788096688931984,0.36976480416728097,0.22126232426246498,0.42,0.3337399812754041
./results/trainedOnCorpustfidf_UniBi_Con,TF-IDF,Concepts,Concepts,-,-,-,Unigrams and Bigrams,0.6814452736668215,0.3909034596294659,0.2258112736868422,0.4320000000000001,0.33921612501650983
./results/trainedOnCorpustrained_cbow_v300_Sent_Cossim_cossim,Word2Vec,Sentences,Sentences,-,300,CBOW,-,0.6619307690039581,0.30624478617357875,0.2074509914513602,0.336,0.3158984937298781
./results/trainedOnCorpustrainedLDASentCossim-20topics,LDA,Sentences,Sentences,20,-,-,-,0.6799763402094982,0.24462120799736897,0.18195765551348805,0.228,0.2870913579998215
./results/trainedOnCorpusdoc2vec_v100_Con_Cossim,Doc2Vec,Concepts,Concepts,-,100,-,-,0.6439676999814771,0.32405514540499064,0.2082947084183817,0.344,0.31477409534075124
